# Creds till Khan @ Rollspel.nu
# https://docs.google.com/spreadsheets/d/1d_hNoDr1E8bNRr-hYgIZjtBxAUNyjgAnScpLwdC95Is/edit#gid=0
N	Plats	Uppdrag	Sidohandling	Skurk
1	Ruin från det forna Colonan	En präst har blivit kidnappad och församlingsborna vill ha sin själasörjare tillbaka	En fruktansvärd storm har brutit ut	Damarisk lamia på genomresa
2	Legion XXIV:s tältläger	En primod har fått hotbrev och vill ha extra beskydd under en resa	En kyrklig högtid inträffar samtidigt	Lokal gluthoskult på uppgång
3	Vägarbetsplats	Ett hemligt meddelande måste levereras och får inte nå fel händer	RP har en snäv deadline	Korrupt general i legionen
4	Stadspark	En slavrevolt har barrikaderat sig med gisslan	En gammal fiende hör av sig och vill försonas	En ausisk konspiration
5	Konstgalleri	Hemskt klotter mot lokal makthavare har spritts i staden	Det råder stor matbrist	Två tiggare med magiska krafter
6	Stor resturang	En viktig person har blivit matförgiftad och måste ersättas under ett viktigt möte	Det är filosofiska stridigheter mellan kyrkan och staden	En nihilistisk stadsvakt utan skrupler
7	Herrgård	En gluthoskultist har infångats och uppgett namnet på flera andra i kulten	En pyaralvisk cirkus besöker staden	En känd brottsling som nyligen släppts från fängelset
8	Skrotupplag	Två gatugäng utpressar en handlare utan att veta om varandra	Ett skepp anländer i hamnen utan sin besättning	Sjökapten med tragiskt förflutet
9	Koppargruva	Legionärer faller i koma utan förklaring	Ett mord utan koppling till brottet inträffar	Sliskig domare med stort kontaktnät
10	Varulager	En rättegångs utgång är given om inte beviset hinner fram i tid	Stadens barberare strejkar	Sabrisk ädling
11	Torg i slumkvarteren	Ett teatersällskap sprider illa dold propaganda mot kyrkan	En av RP förföljs av en gammal flamma	Galen vetenskapsman
12	Byggarbetsplats	Fixade gladiatormatcher skadar sportens rykte	En annan kontakt försöker muta RP	En av RP:s gamla fiender som vill ha hämnd
13	Basilika	En lokal adelsman har hittat guld på sina marker och vill ha skydd mot banditer	Det är mitt i vintern och stora mängder snö överallt	Förvirrade xinukultister utan ledare
14	Port i stadsmuren	Den lokala basilikans reliker har ersatts av replikor i trä	En annan äventyrsgrupp har samma uppdrag	Anarkister som vill genomföra revolution
15	Legionärsbaracker	En ruin från det forna Colonan har en mystisk grav  Handlingen är en skenmanöver för skurkens egentliga plan	Kejserlig släkting som vill skaffa makt
16	Bibliotek	Starkt drogpåverkade personer ställer till ofog för stadsvakten	En dansande björn är på rymmen från sin ägare	En släkting till en av RP
17	Torg	En stor magisk ritual måste stoppas innan stjärnorna står rätt	En mystisk mosaik är fylld med magi	Frustrerad hemlös med stöd av ett spöke
18	Sjukhus	En känd gladiator mördas och RP misstänks	En av RP måste tatuera sig för att nå målet	Gammal gladiator som inte vill bli bortglömd
19	Dårhus	Valet av ny gillesmästare i juvelerarnas gille spårar ur i hätskhet och slagsmål	En av skurkens hantlangare är hypnotisör	Kraggbarbar på väg hem
20	Fängelse	En seriemördare härjar i staden och riktar in sig på förmögna	En av RPs föräldrar hälsar på	Samoritrogna infiltratörer
21	Hamnen	En dyr men förbjuden bok har stulits från en samlare	En kyrklig relik dyker upp i RPs händer	Välbeväpnade sjörövare
22	Skepp	En stor tävling inträffar där RP kan delta i brottning, bågskytte, löpning, mm	En mystiskt barn är inblandad i handlingen	Mûhadiner med en dold agenda
23	Marknadsplats	En hemsökt artefakt besätter folk om natten och får dem att begår hemska illdåd	En sabrisk diplomat är på besök och får inte hamna i vägen	Agenter från Rhakori
24	Domstol	Strykarhundar har fått rabies och skräcken för sjukdomen gör folk paranoida	Det är musikfestival i staden samtidigt	Rik adelsman som MÅSTE ha mer pengar
25	Fyrtorn	En stor brand har ödelagt delar av staden. Är den anlagd?	Det är stor torka i stan, inget vatten någonstans	Korrupt stadsvakt som försöker dölja ett misstag
26	Skum krog	En lokal herreman är rädd att hans gravida fru inte bär hans barn. Vems är barnet?	Det brinner i en stadsdel RP ska till	Legionärer som vill fejka hjältedåd
27	Lyxresturang	En skuldindrivare behöver hjälp att hämta pengar från en adlig, men fattig herreman	En SLP misstar en av RP för en gammal fiende	En galen pyroman
28	Kloaksystemet	En viktig kurir har försvunnit på vägen mellan här och där	RP är misstänkta för ett orelaterat brott	Två lönnmördare som vill bli kända i branschen
29	Arkeologisk expedition	En sekt har börjat predika öppet i stan och måste stoppas kvickt	Det är kejsarens kröningsjubileumsdag   Dvärgisk köpman ute efter marknadsandelar
30	Musikkonservatorium	En konspiration för att mörda en lokal makthavare måste stoppas	Magsjuka sprids i staden, RP får se upp	Gniden penningutlånare som vill statuera exempel
31	Museum	En av stadens herremän är kultist, men vill stoppa rykten om det	RP måste låna en stor mängd pengar för att lyckas	En helmgast utan hämningar
32	Spökhus	En damarisk ädling är lamia. Eller är det illasinnade rykten?	RP förföljs av en liten samling fans	Missförstådd släkting som bara vill väl
33	Kontorslokal för statens byråkrater	En lokal präst är besatt av en demon och uppviglar sina församlingsmedlemmar	Det är trafikstockning i staden och svårt att ta sig fram	Alkoholiserad konkurrent utan återvändo
34	Arena	Två olika gäng slåss mot varandra och oskyldiga hamnar i skottlinjen	Pressgängare är i staden och tvångsrekryterar RP	Paranoid pyaralv som ser faror överallt
35	Träningslokal för gladiatorer	Två handelsmän skall skriva på ett handelsavtal. Inget får gå fel innan de skrivit på!	En RP är väldigt lik en lokal kändis och de blandas ihop	Någons elaka tvilling
36	Ranch för uppfödning av lyxhästar	Skurkar kräver beskyddarpengar av hantverkarna på Keramikgatan	En prisbelönt avelshingst värd tusentals dinarer kommer i RPs händer	Kejserlig agent med högre agenda
37	Botanisk trädgård	En uppfinnare skapar så bra saker att det måste vara magi inblandat	RP förtalas av elaka rykten, spridda av en gammal fiende	Politisk karrärist som vill uppåt i systemet
38	Skola	En skolklass barn har kommit över förbjuden litteratur	Det är deklarationstider	Dödsmagiker med dödslängtan
39	Alkemiskt laboratorium	Det sprids en pest bland stadens hästar, många har dött. Är det förgiftning?	RP måste gå genom kloaksystemet på vägen	Ökänd kidnappare som gjort det förut
40	Kyrkogård	En basilika skall byggas om, men någon försnillar pengarna från bygget	RP måste anlita en tolk under äventyret	Tidigare slavar som försöker befria andra slavar
41	Bar	Två ädlingar grälar om en plätt mark mellan sina ägor	En galen präst är övertygad om att ett helgon kommer födas av en RP	Raunlänningar som bara vill fördriva tiden
42	Plantskola	En ädling umgås med folk ur underklassen. Skandal måste undvikas!	En schackturnering pågår, fylld med mycket dryga deltagare	Våldsamma ebhronitiska magiker
43	Universitet	En musikanttrupp är misstänkta för att vara spioner åt främmande makt	En eldsprutande gycklare råkar sätta eld på en av RP	Misslor med drogproblem
44	Skola för små, men rika barn	Testamentet efter handlaren Uther är förfalskat. Var finns originalet?	Det är extra säkerhet på platsen	Bazirktiraker som vill sprida kaos
45	Stall	Hamnen hålls belägrad av pirater och sjörövare, men flottan kan inte hjälpa till.	Platsen är hemsökt, utan koppling till skurken eller handlingen	Klosterabbott som vill bli helgon
46	Slakteri	En ståtlig invigning av ett byggprojekt spårar ur när bygget börjar brinna	Platsen har många oskyldiga i närheten	Cirefalier som vill återfå familjeklenoder
47	Bondgård utanför stadsmurarna	En offentlig avrättning kommer avrätta fel person	En präst försöker frälsa RP	Helt vanliga rövare
48	Shoppingstråk	En folkuppviglare måste tystas innan kravallerna startar	En RP behöver bryta mot sina principer för att lyckas	Hederlig stadsvakt som inte förstått vad som pågår
49	En ädlings gigantiska villa	När arbetare gräver en ny brunn hittar de ett grottkomplex fyllt med spöken	En RP blir erbjuden plats i en kampsportsskola	Inbrottstjuvar med samvete
50	Diplomatbostad	En laddning hyggelmonster skall levereras till gladiatorarenan	En legion är på väg till platsen, RP måste hinna först	Slaktare med kannibalistiska tendenser
51	Kejserliga palatset	Rövare har barrikaderat sig på platsen och kräver lösensumma för gisslan	Det blir solförmörkelse på platsen. Vad betyder det?	Gravplundrare med onda skratt
52	Kloster	En kejserlig utredning av situationen i slumkvarteren kräver beskydd	En upptäcktsresande försöker få med RP på en expedition	En cell från den Skimrande Vägen
53	Karneval	En felräkning i skattekolumn 24D har skapat enorma problem för byråkrat Audus	En RP ärver en gammal vän och får en hund i testamentet	Antimoniter med något att bevisa
